Network Management Card AOS v5.1.6
Smart-UPS & Matrix-UPS APP v5.1.6

Date     	Time     	Name	Contact	Location	System IP
03/18/2022	16:11:23	Unknown	Unknown	Unknown	172.19.17.133

		Smart-UPS VT 20 kVA   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	
Date	Time	Vmin1	Vmin2	Vmin3	Vmax1	Vmax2	Vmax3	Vbp1	Vbp2	Vbp3	Iin1	Iin2	Iin3	Vout1	Vout2	Vout3	Iout1	Iout2	Iout3	%Wout1	%Wout2	%Wout3	kVAout1	kVAout2	kVAout3	Freq	%Cap	Vbat	Ibat	TupsC
03/18/2022	15:56:14	209.2	210.1	206.9	215.4	217.6	213.3	214.1	215.5	212.3	1.56	1.79	1.79	219.4	218.5	219.2	1	4	0	6	11	1	0.3	0.8	0.1	50.00	100.0	218.1	-0.1	25.1	
03/18/2022	14:56:14	211.2	211.1	209.4	216.4	216.9	214.1	211.9	216.0	211.0	1.59	1.83	1.85	219.3	218.6	218.9	1	4	0	6	14	1	0.3	1.0	0.1	50.27	100.0	218.0	-0.1	24.9	
03/18/2022	13:56:14	215.0	212.7	212.9	221.1	219.8	219.1	216.3	217.2	214.2	1.62	1.81	1.85	219.4	218.6	219.3	1	4	0	6	12	1	0.3	0.9	0.1	50.01	100.0	218.0	-0.1	24.9	
03/18/2022	12:56:14	215.2	212.6	213.8	220.6	219.1	218.5	218.0	215.3	216.5	1.58	1.75	1.84	219.3	218.7	219.3	1	4	0	6	12	1	0.3	0.9	0.1	50.07	100.0	218.1	-0.1	24.7	
03/18/2022	11:56:13	214.8	211.7	212.3	221.0	220.2	218.5	220.0	216.5	217.6	1.45	1.68	1.70	218.8	218.7	219.3	1	3	0	6	10	1	0.3	0.7	0.1	50.34	100.0	218.1	-0.1	24.5	
03/18/2022	10:56:13	217.1	213.3	215.1	222.2	221.1	219.6	218.8	219.0	217.6	1.60	1.80	1.85	218.9	218.9	219.3	1	4	0	6	11	1	0.3	0.8	0.2	50.30	100.0	218.3	-0.1	24.3	
03/18/2022	09:56:13	215.9	210.4	207.8	220.4	221.1	218.3	217.0	214.7	216.0	1.58	1.75	1.82	219.3	219.4	219.6	1	3	0	6	11	0	0.3	0.8	0.1	49.87	100.0	218.3	-0.1	24.1	
03/18/2022	08:56:13	210.5	210.4	207.3	220.2	217.2	214.0	219.1	213.5	210.6	1.60	1.76	1.80	219.0	218.6	219.2	1	4	0	6	11	1	0.3	0.8	0.1	49.74	100.0	218.4	-0.1	23.9	
03/18/2022	07:56:13	209.8	211.4	210.9	217.9	218.6	216.2	216.8	216.4	213.8	1.53	1.73	1.78	219.2	218.8	219.2	1	3	0	6	11	1	0.3	0.8	0.1	49.65	100.0	218.1	-0.1	23.8	
03/18/2022	06:56:12	209.8	210.8	208.2	215.4	217.8	213.7	210.3	213.5	212.6	1.53	1.72	1.78	218.8	219.4	219.4	1	3	0	6	10	0	0.3	0.7	0.1	50.01	100.0	218.1	-0.1	23.8	
03/18/2022	05:56:12	213.4	212.6	211.2	216.6	217.1	214.4	215.1	213.5	212.8	1.11	1.37	1.36	218.9	219.3	219.6	1	2	0	6	7	1	0.3	0.6	0.1	50.25	100.0	218.1	-0.1	23.8	
03/18/2022	04:56:12	215.3	213.7	213.2	218.5	218.4	216.0	216.2	217.0	214.3	1.21	1.44	1.47	218.8	219.0	219.3	1	2	0	6	6	1	0.3	0.5	0.1	49.90	100.0	218.1	-0.1	23.9	
03/18/2022	03:56:12	215.3	214.5	213.2	218.8	218.6	216.3	215.1	216.0	213.5	1.17	1.41	1.41	219.5	219.6	219.5	1	2	0	6	7	0	0.3	0.6	0.1	50.28	100.0	218.3	-0.1	24.0	
03/18/2022	02:56:12	215.1	213.6	212.6	217.6	218.0	215.3	217.2	218.1	215.1	1.27	1.48	1.51	219.2	218.7	219.0	1	2	0	6	7	0	0.3	0.5	0.1	50.23	100.0	218.4	-0.1	24.0	
03/18/2022	01:56:11	214.9	213.5	212.6	218.1	217.9	215.9	216.9	218.2	215.4	1.12	1.37	1.36	219.1	218.7	219.2	1	2	0	6	7	1	0.3	0.6	0.1	50.38	100.0	218.3	-0.1	24.1	
03/18/2022	00:56:11	213.2	207.2	210.6	217.1	217.5	215.2	214.8	215.8	212.9	1.14	1.40	1.39	219.4	219.3	219.4	1	2	0	6	7	0	0.4	0.6	0.1	50.29	100.0	218.4	-0.1	24.1	
03/17/2022	23:56:11	213.1	211.5	211.1	217.6	216.7	215.5	213.7	215.1	212.6	1.15	1.42	1.41	219.3	219.4	219.6	1	2	0	6	7	1	0.3	0.5	0.1	49.95	100.0	218.0	-0.1	24.2	
03/17/2022	22:56:11	215.3	206.3	213.2	220.1	219.4	217.8	215.1	214.6	213.5	1.14	1.40	1.36	218.9	219.3	219.4	1	2	0	6	7	0	0.3	0.5	0.1	49.95	100.0	218.1	-0.1	24.4	
03/17/2022	21:56:11	216.6	214.4	214.7	219.5	219.0	217.5	218.8	219.2	217.7	1.14	1.39	1.40	219.3	219.2	219.1	1	2	0	6	7	1	0.3	0.6	0.1	50.47	99.5	218.1	-0.1	24.5	
03/17/2022	20:56:10	216.4	214.3	214.5	220.0	219.1	217.6	216.8	216.7	215.1	1.43	1.66	1.68	219.3	218.8	219.0	1	3	0	6	10	1	0.3	0.8	0.1	49.50	96.1	218.1	-0.1	24.7	
03/17/2022	19:56:10	216.3	213.5	215.5	219.4	218.9	218.1	218.6	218.8	217.5	1.35	1.60	1.60	219.0	218.9	219.3	1	3	0	6	11	0	0.3	0.9	0.1	50.32	92.8	218.1	-0.1	24.9	
03/17/2022	18:56:10	215.2	211.8	214.2	219.8	219.6	217.5	217.1	216.3	216.2	1.42	1.65	1.68	219.6	218.8	219.1	1	3	0	6	10	1	0.3	0.7	0.1	50.24	89.5	218.0	-0.1	24.9	
03/17/2022	17:56:10	217.4	213.9	214.3	221.0	220.2	218.2	219.0	219.1	217.0	1.59	1.80	1.85	218.9	219.2	219.6	1	3	0	6	11	0	0.3	0.8	0.1	49.87	86.1	218.0	-0.1	25.0	
03/17/2022	16:56:10	212.9	213.8	209.3	220.5	220.2	216.8	219.4	219.6	216.2	1.50	1.72	1.75	218.9	218.6	219.4	1	3	0	6	11	0	0.4	0.8	0.1	50.00	82.8	218.1	-0.1	25.0	
03/17/2022	15:56:09	209.0	211.1	208.2	215.9	218.0	213.0	213.0	214.2	210.2	1.48	1.70	1.70	219.3	219.2	219.4	1	3	0	6	10	1	0.3	0.7	0.1	49.89	78.4	217.8	-0.1	24.9	
03/17/2022	14:56:09	0.2	0.3	0.2	220.7	219.5	218.3	211.6	216.3	212.6	1.62	1.87	1.90	219.1	219.0	219.0	1	4	0	6	12	1	0.3	0.9	0.1	49.71	69.4	218.0	-0.1	24.9	
03/17/2022	13:56:09	0.2	0.3	0.2	221.2	223.1	218.3	210.6	215.0	210.3	1.58	1.84	1.85	218.9	218.9	219.5	1	3	0	6	11	1	0.3	0.8	0.1	50.06	54.9	218.1	-0.1	24.7	
03/17/2022	12:56:09	212.7	212.1	213.2	220.5	218.6	218.1	216.6	216.8	217.1	1.53	1.77	1.81	218.9	219.2	219.1	1	4	0	6	11	1	0.3	0.8	0.1	50.49	100.0	218.1	-0.1	24.4	
03/17/2022	11:56:09	215.5	214.4	213.1	220.3	219.9	218.7	219.3	216.6	215.6	1.54	1.73	1.79	219.2	219.3	219.4	1	3	0	6	11	1	0.3	0.8	0.1	50.31	100.0	218.3	-0.1	24.2	
03/17/2022	10:56:08	215.9	212.4	213.0	220.4	218.7	218.5	219.4	218.5	217.8	1.56	1.76	1.81	219.2	219.5	219.3	1	4	0	6	11	1	0.3	0.8	0.1	50.20	98.6	218.3	-0.1	24.0	
