v1.0.0
Date	Time	Name	Contact	Location	System IP
01/10/2022	10:24:53	Unknown	Unknown	Unknown	172.19.10.133

		Smart-UPS VT 30 kVA   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	Integrated EMU   	   	
Date	Time	Vmin1	Vmin2	Vmin3	Vmax1	Vmax2	Vmax3	Vbp1	Vbp2	Vbp3	Iin1	Iin2	Iin3	Vout1	Vout2	Vout3	Iout1	Iout2	Iout3	%Wout1	%Wout2	%Wout3	kVAout1	kVAout2	kVAout3	Freq	%Cap	Vbat	Ibat	TupsC	TIambC	%HumI
01/10/2022	09:42:27	224.5	228.2	225.5	231.5	235.3	232.5	230.3	234.3	231.0	1.56	0.98	0.63	231.1	231.3	231.0	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.27	100.0	216.9	+0.0	28.6	   	   	
01/10/2022	08:42:27	220.9	224.5	221.6	230.9	235.1	232.0	224.3	228.5	225.4	1.67	1.11	0.69	231.2	230.9	231.2	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	49.70	100.0	216.9	+0.0	28.4	   	   	
01/10/2022	07:42:27	225.0	228.7	225.7	232.8	236.9	233.7	229.3	234.1	230.1	1.57	1.02	0.66	230.9	231.1	231.0	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.09	100.0	216.9	+0.0	28.3	   	   	
01/10/2022	06:42:27	219.0	223.6	220.4	236.6	240.7	237.4	226.2	229.9	226.6	1.60	1.03	0.66	231.2	231.0	231.0	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	49.84	100.0	217.1	+0.0	28.0	   	   	
01/10/2022	05:42:27	235.2	239.7	236.6	245.0	249.0	246.4	234.9	239.8	236.2	1.57	0.97	0.62	230.9	231.1	231.3	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	49.97	100.0	217.1	+0.0	27.8	   	   	
01/10/2022	04:42:27	241.1	245.0	242.2	246.5	250.5	248.0	243.8	248.5	245.6	1.52	0.92	0.62	231.1	231.0	231.2	1.7	1.7	1.7	1	3	2	0.2	0.3	0.3	50.04	100.0	217.1	+0.0	27.6	   	   	
01/10/2022	03:42:27	241.2	245.2	242.6	243.9	248.2	245.2	240.7	245.5	242.3	1.51	0.91	0.59	230.9	231.0	231.2	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	49.70	100.0	217.2	+0.0	27.5	   	   	
01/10/2022	02:42:27	240.4	244.2	241.4	244.9	249.0	245.9	242.0	246.4	243.0	1.48	0.92	0.61	230.9	230.9	231.3	1.6	1.6	1.6	1	3	2	0.2	0.3	0.3	49.98	100.0	217.2	+0.0	27.2	   	   	
01/10/2022	01:42:27	239.1	243.4	240.2	245.6	249.7	247.1	243.1	247.3	244.1	1.52	0.93	0.60	230.9	231.0	231.3	1.5	1.5	1.5	1	3	3	0.2	0.3	0.4	50.12	100.0	217.4	+0.0	27.0	   	   	
01/10/2022	00:42:27	234.8	239.0	235.8	241.1	245.5	242.2	239.6	244.2	240.9	1.51	0.95	0.61	230.9	231.3	231.1	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	50.15	100.0	217.4	+0.0	26.8	   	   	
01/09/2022	23:42:27	231.3	235.4	232.9	237.2	241.4	238.2	236.4	240.7	237.1	1.55	0.96	0.62	230.9	231.0	231.2	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.14	100.0	217.5	+0.0	26.4	   	   	
01/09/2022	22:42:27	231.3	235.4	233.0	240.1	244.0	241.3	232.4	237.4	234.5	1.55	0.97	0.63	231.1	231.3	231.1	1.7	1.7	1.7	1	3	2	0.2	0.3	0.3	50.03	100.0	217.8	+0.0	26.0	   	   	
01/09/2022	21:42:27	234.2	237.8	235.4	240.6	244.6	241.9	235.9	239.8	236.8	1.57	0.96	0.61	231.3	231.2	230.9	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	49.94	100.0	217.8	+0.0	25.6	   	   	
01/09/2022	20:42:28	233.4	237.4	234.4	238.4	242.5	239.3	237.7	241.9	238.6	1.58	0.99	0.63	231.3	230.9	231.1	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.24	100.0	218.0	+0.0	25.3	   	   	
01/09/2022	19:42:28	234.1	237.3	234.6	238.3	242.0	239.3	236.1	240.4	236.6	1.56	0.93	0.62	231.1	231.2	231.0	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	50.05	100.0	218.1	+0.0	24.6	   	   	
01/09/2022	18:42:28	233.3	236.8	233.9	237.2	240.7	237.7	234.1	237.5	234.4	1.60	0.98	0.64	231.0	230.9	231.3	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	49.85	100.0	218.3	+0.0	23.9	   	   	
01/09/2022	17:42:28	0.3	0.4	0.6	239.3	242.6	239.2	234.4	238.6	235.0	1.60	0.97	0.63	231.5	231.0	230.9	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.00	100.0	218.6	+0.0	23.1	   	   	
01/09/2022	16:42:28	233.8	237.6	233.5	240.2	243.9	241.0	236.7	240.9	236.6	1.59	0.98	0.62	231.4	231.0	231.0	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	50.00	100.0	218.7	+0.0	22.8	   	   	
01/09/2022	15:42:28	233.5	237.0	233.9	239.1	242.5	238.6	234.2	238.4	235.0	1.58	0.96	0.63	230.9	231.1	231.2	1.6	1.6	1.6	1	3	2	0.2	0.3	0.3	49.96	100.0	218.7	+0.0	22.8	   	   	
01/09/2022	14:42:28	235.6	239.2	235.4	240.6	244.2	240.6	236.5	240.2	236.4	1.59	1.00	0.62	230.9	231.0	231.3	1.7	1.7	1.7	1	3	2	0.2	0.3	0.3	50.18	100.0	218.9	+0.0	22.8	   	   	
01/09/2022	13:42:28	234.1	236.8	234.1	239.8	243.1	240.1	238.4	242.2	239.3	1.57	0.94	0.60	231.2	231.1	231.0	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.43	100.0	218.7	+0.0	22.8	   	   	
01/09/2022	12:42:28	232.5	235.8	232.5	237.0	240.2	237.2	234.6	238.5	234.5	1.59	0.99	0.62	231.1	231.2	231.2	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.29	100.0	218.6	+0.0	22.8	   	   	
01/09/2022	11:42:28	230.3	233.4	229.9	235.5	238.7	235.7	233.1	236.9	233.0	1.59	0.98	0.61	231.1	231.0	231.0	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	49.99	100.0	218.6	+0.0	22.9	   	   	
01/09/2022	10:42:28	228.5	231.8	228.6	234.2	237.4	233.9	232.5	235.7	232.0	1.61	0.98	0.61	230.9	231.2	231.2	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	49.99	100.0	218.6	+0.0	22.9	   	   	
01/09/2022	09:42:28	223.8	227.1	223.5	230.2	233.4	230.9	229.0	233.5	229.1	1.63	1.05	0.66	231.2	231.1	230.9	1.6	1.6	1.6	1	3	2	0.2	0.3	0.3	50.08	100.0	218.6	+0.0	23.1	   	   	
01/09/2022	08:42:28	225.2	228.1	225.0	236.7	240.3	237.4	226.3	229.8	225.8	1.66	1.09	0.65	230.9	230.9	231.3	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	49.99	100.0	218.6	+0.0	23.2	   	   	
01/09/2022	07:42:28	225.5	229.1	225.6	233.8	237.1	233.4	233.1	237.0	232.9	1.65	1.04	0.66	231.2	231.0	231.2	1.7	1.7	1.7	1	3	3	0.2	0.3	0.3	50.01	100.0	218.6	+0.0	23.3	   	   	
01/09/2022	06:42:28	225.7	229.7	225.9	237.8	241.7	238.6	226.0	229.7	225.6	1.62	1.06	0.64	231.1	231.0	231.1	1.5	1.5	1.5	1	3	3	0.2	0.3	0.4	50.00	100.0	218.4	+0.0	23.4	   	   	
01/09/2022	05:42:28	236.0	239.4	236.0	240.8	244.8	241.5	236.9	240.9	237.4	1.59	0.98	0.64	231.0	230.9	231.3	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.39	100.0	218.4	+0.0	23.3	   	   	
01/09/2022	04:42:28	238.9	242.4	239.1	243.0	246.6	243.9	239.3	243.2	239.5	1.55	0.94	0.60	231.2	231.0	230.9	1.6	1.6	1.6	1	3	2	0.2	0.3	0.3	49.90	100.0	218.4	+0.0	23.5	   	   	
01/09/2022	03:42:28	238.2	241.5	238.5	241.1	244.7	242.0	239.3	243.1	239.3	1.56	0.97	0.59	231.3	231.0	231.0	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	49.91	100.0	218.4	+0.0	23.7	   	   	
01/09/2022	02:42:28	236.8	240.8	237.2	239.7	243.4	240.9	239.0	242.7	238.9	1.57	0.98	0.59	231.1	231.1	231.2	1.6	1.6	1.6	1	3	3	0.2	0.3	0.3	50.09	100.0	218.3	+0.0	23.8	   	   	
01/09/2022	01:42:28	236.3	240.2	236.6	242.9	246.4	243.4	239.1	243.5	239.1	1.56	0.95	0.61	231.0	230.9	231.3	1.7	1.7	1.7	1	3	2	0.2	0.3	0.3	50.19	100.0	218.3	+0.0	24.0	   	   	
